curso,periodo,idade,cidade,renda_total,trabalha_atualmente,recebe_auxilio_da_insti,ja_pensou_em_desistir,motivo_de_desistencia,motivo_agrupado
informatica,7,15 a 18 anos,Jardim,entre 2 e 4 salarios minimos,nao,nao,nao nunca,,
computacao,3,15 a 18 anos,Guia Lopes,entre 2 e 4 salarios minimos,nao,sim,nao nunca,,
arquitetura,3,15 a 18 anos,Jardim,nao informado,"nao, mas estou procurando",ja solicitei e aguardo reposta,nao nunca,decepçao com a qualidade do curso,Dificuldade de aprendizado
edificacoes,1,15 a 18 anos,Jardim,entre 2 e 4 salarios minimos,nao,nao,"sim, algumas vezes",problemas de relacionamento com os professores,Dificuldade de aprendizado
edificacoes,3,25 a 30 anos,Jardim,entre 1 e 2 salarios minimos,"sim, em meio periodo",nao,"sim, varias vezes",,problemas de saude
edificacoes,3,15 a 18 anos,Guia Lopes,entre 4 e 6 salarios minimos,"nao, mas estou procurando",nao,"sim, algumas vezes",,problemas de saude
computacao,3,15 a 18 anos,Guia Lopes,nao informado,"sim, em periodo integral",nao,"sim, algumas vezes",,
informatica,5,15 a 18 anos,Guia Lopes,entre 1 e 2 salarios minimos,nao,nao,nao nunca,problemas de saude,Dificuldade de aprendizado
edificacoes,1,15 a 18 anos,Bela Vista,entre 4 e 6 salarios minimos,nao,nao,"sim, algumas vezes",,Dificuldade em conciliar trabalho e estudos
arquitetura,3,15 a 18 anos,Jardim,entre 2 e 4 salarios minimos,nao,nao,nao nunca,,problemas de saude
computacao,3,mais de 40 anos,Jardim,ate 1 salario minimo,"sim, em periodo integral",nao,nao nunca,problemas de saude,Problemas de relacionamento com colegas
computacao,5,15 a 18 anos,Jardim,entre 2 e 4 salarios minimos,"nao, mas estou procurando",nao,"sim, algumas vezes",dificuldade no aprendizado,Dificuldade de aprendizado
edificacoes,1,15 a 18 anos,Nioaque,entre 4 e 6 salarios minimos,"nao, mas estou procurando",nao,"sim, varias vezes",,Problemas com transporte
arquitetura,1,15 a 18 anos,Jardim,ate 1 salario minimo,"sim, em meio periodo",ja solicitei e aguardo reposta,nao nunca,,
edificacoes,1,menos de 15 anos,Jardim,ate 1 salario minimo,nao,ja solicitei e aguardo reposta,nao nunca,,
edificacoes,5,19 a 24 anos,Nioaque,entre 2 e 4 salarios minimos,"sim, em meio periodo",ja solicitei e aguardo reposta,nao nunca,,
informatica,1,19 a 24 anos,Jardim,mais de 6 salarios minimos,nao,ja solicitei e aguardo reposta,"sim, varias vezes",,
edificacoes,3,menos de 15 anos,Bela Vista,entre 1 e 2 salarios minimos,"sim, em meio periodo",nao,"sim, algumas vezes",,Dificuldade de aprendizado
edificacoes,1,19 a 24 anos,Jardim,nao informado,"nao, mas estou procurando",nao,nao nunca,,Dificuldade em conciliar trabalho e estudos
edificacoes,3,15 a 18 anos,Jardim,entre 1 e 2 salarios minimos,nao,ja solicitei e aguardo reposta,nao nunca,,
edificacoes,1,15 a 18 anos,Jardim,entre 2 e 4 salarios minimos,nao,ja solicitei e aguardo reposta,nao nunca,,Dificuldade em conciliar trabalho e estudos
computacao,3,15 a 18 anos,Guia Lopes,entre 4 e 6 salarios minimos,"sim, em periodo integral",ja solicitei e aguardo reposta,nao nunca,dificuldade no aprendizado,Problemas com transporte
edificacoes,3,15 a 18 anos,Jardim,entre 2 e 4 salarios minimos,"sim, em meio periodo",nao,"sim, algumas vezes",distancia,Dificuldade de aprendizado
edificacoes,5,menos de 15 anos,Jardim,entre 1 e 2 salarios minimos,"sim, em meio periodo",nao,nao nunca,,Dificuldade em conciliar trabalho e estudos
edificacoes,3,31 a 40 anos,Jardim,entre 2 e 4 salarios minimos,"sim, em periodo integral",nao,nao nunca,,Dificuldades financeiras
informatica,1,15 a 18 anos,Jardim,entre 2 e 4 salarios minimos,"nao, mas estou procurando",nao,nao nunca,,Dificuldade de aprendizado
edificacoes,1,19 a 24 anos,Jardim,ate 1 salario minimo,"nao, mas estou procurando",nao,"sim, varias vezes",dificuldade de aprendizado,
edificacoes,3,menos de 15 anos,Jardim,entre 2 e 4 salarios minimos,nao,nao,nao nunca,dificuldade no aprendizado,Problemas de relacionamento com colegas
edificacoes,3,15 a 18 anos,Jardim,ate 1 salario minimo,"sim, em meio periodo",nao,nao nunca,dificuldade de aprendizado,Dificuldades financeiras
edificacoes,1,15 a 18 anos,Jardim,entre 2 e 4 salarios minimos,nao,nao,"sim, algumas vezes",,
informatica,1,15 a 18 anos,Jardim,entre 4 e 6 salarios minimos,nao,ja solicitei e aguardo reposta,nao nunca,,
edificacoes,5,15 a 18 anos,Jardim,nao informado,nao,ja solicitei e aguardo reposta,"sim, algumas vezes",,
informatica,5,menos de 15 anos,Nioaque,ate 1 salario minimo,"sim, em periodo integral",nao,"sim, algumas vezes",,
arquitetura,3,15 a 18 anos,Jardim,ate 1 salario minimo,"sim, em meio periodo",nao,nao nunca,,
edificacoes,3,15 a 18 anos,Guia Lopes,mais de 6 salarios minimos,"nao, mas estou procurando",nao,nao nunca,,
edificacoes,3,15 a 18 anos,Jardim,ate 1 salario minimo,"sim, em meio periodo",ja solicitei e aguardo reposta,nao nunca,dificuldade de aprendizado,Problemas com transporte
informatica,5,15 a 18 anos,Jardim,entre 2 e 4 salarios minimos,nao,sim,"sim, algumas vezes",,
edificacoes,1,31 a 40 anos,Jardim,nao informado,nao,ja solicitei e aguardo reposta,"sim, algumas vezes",,
edificacoes,3,15 a 18 anos,Jardim,mais de 6 salarios minimos,nao,nao,nao nunca,dificuldade de aprendizado,Dificuldade de aprendizado
informatica,3,menos de 15 anos,Jardim,ate 1 salario minimo,"sim, em periodo integral",nao,nao nunca,,
computacao,3,31 a 40 anos,Jardim,entre 2 e 4 salarios minimos,"sim, em periodo integral",nao,nao nunca,,
edificacoes,5,15 a 18 anos,Jardim,entre 1 e 2 salarios minimos,"nao, mas estou procurando",nao,nao nunca,dificuldade no aprendizado,problemas de saude
informatica,3,19 a 24 anos,Jardim,nao informado,nao,ja solicitei e aguardo reposta,"sim, varias vezes",dificuldade no aprendizado,
edificacoes,3,menos de 15 anos,Jardim,entre 2 e 4 salarios minimos,nao,sim,nao nunca,dificuldade de aprendizado,
edificacoes,5,15 a 18 anos,Jardim,entre 1 e 2 salarios minimos,nao,nao,"sim, algumas vezes",dificuldade no aprendizado,Dificuldade de aprendizado
edificacoes,1,15 a 18 anos,Guia Lopes,nao informado,nao,nao,nao nunca,problemas de saude,problemas de saude
arquitetura,5,15 a 18 anos,Jardim,entre 1 e 2 salarios minimos,nao,ja solicitei e aguardo reposta,nao nunca,problema de relacionamento com os colegas,problemas de relacionamento com os professores
informatica,1,15 a 18 anos,Jardim,entre 2 e 4 salarios minimos,"sim, em meio periodo",sim,nao nunca,,
edificacoes,5,15 a 18 anos,Jardim,ate 1 salario minimo,"sim, em periodo integral",ja solicitei e aguardo reposta,nao nunca,dificuldade de aprendizado,Dificuldade de aprendizado
edificacoes,1,menos de 15 anos,Jardim,entre 1 e 2 salarios minimos,nao,nao,nao nunca,,
edificacoes,1,menos de 15 anos,Nioaque,mais de 6 salarios minimos,nao,nao,nao nunca,,
informatica,3,15 a 18 anos,Jardim,entre 2 e 4 salarios minimos,nao,sim,"sim, algumas vezes",problemas de saude,Dificuldade de aprendizado
computacao,5,15 a 18 anos,Jardim,entre 1 e 2 salarios minimos,nao,nao,nao nunca,dificuldade de conciliar trabalho e estudos,
edificacoes,5,19 a 24 anos,Jardim,entre 2 e 4 salarios minimos,nao,nao,nao nunca,distancia,problemas de saude
edificacoes,1,15 a 18 anos,Jardim,nao informado,nao,ja solicitei e aguardo reposta,nao nunca,,problemas de saude
informatica,3,15 a 18 anos,Jardim,entre 2 e 4 salarios minimos,nao,nao,nao nunca,,
informatica,3,15 a 18 anos,Jardim,nao informado,"nao, mas estou procurando",nao,nao nunca,,Dificuldade em conciliar trabalho e estudos
arquitetura,5,15 a 18 anos,Jardim,entre 4 e 6 salarios minimos,"sim, em meio periodo",nao,"sim, algumas vezes",,
edificacoes,3,15 a 18 anos,Guia Lopes,entre 2 e 4 salarios minimos,nao,ja solicitei e aguardo reposta,"sim, algumas vezes",,
edificacoes,3,19 a 24 anos,Jardim,ate 1 salario minimo,"nao, mas estou procurando",sim,nao nunca,,Dificuldade de aprendizado
computacao,5,15 a 18 anos,Jardim,entre 4 e 6 salarios minimos,"nao, mas estou procurando",sim,"sim, algumas vezes",recebi uma proposta de emprego,Dificuldade de aprendizado
edificacoes,3,15 a 18 anos,Jardim,ate 1 salario minimo,"sim, em meio periodo",nao,nao nunca,,
edificacoes,3,15 a 18 anos,Jardim,entre 1 e 2 salarios minimos,"sim, em meio periodo",nao,nao nunca,problemas de saude,recebi uma proposta de emprego
edificacoes,3,15 a 18 anos,Nioaque,mais de 6 salarios minimos,"sim, em meio periodo",nao,nao nunca,,
computacao,3,15 a 18 anos,Jardim,entre 1 e 2 salarios minimos,nao,nao,nao nunca,,
informatica,3,15 a 18 anos,Jardim,entre 4 e 6 salarios minimos,"nao, mas estou procurando",nao,"sim, algumas vezes",dificulades financeiras,Dificuldade de aprendizado
informatica,1,19 a 24 anos,Jardim,entre 4 e 6 salarios minimos,"sim, em periodo integral",nao,nao nunca,dificuldade no aprendizado,Problemas de relacionamento com colegas
edificacoes,5,19 a 24 anos,Guia Lopes,entre 4 e 6 salarios minimos,nao,nao,nao nunca,,
informatica,5,15 a 18 anos,Jardim,entre 4 e 6 salarios minimos,nao,nao,nao nunca,,
edificacoes,1,menos de 15 anos,Alto Caracol,mais de 6 salarios minimos,"nao, mas estou procurando",nao,nao nunca,,Dificuldade de aprendizado
edificacoes,3,15 a 18 anos,Jardim,entre 1 e 2 salarios minimos,"nao, mas estou procurando",nao,nao nunca,,problemas de saude
